0;Jucá: Meirelles será o candidato do MDB, mas não receberá recursos.  #Eleições2018 #MDB  ;Jucá: Meirelles will be MDB candidate, but will not receive resources. # Elections2018 #MDB;Neg,Neu,Pos,Compound;0.0;1.0;0.0;0.0
1;... o ex-ministro da Fazenda Henrique Meirelles tem até 31 de julho, data prevista para a Convenção Nacional do MDB para conseguir reunir votos dos 27 diretórios estaduais e ser o candidato do partido.;"... former Finance Minister Henrique Meirelles has until July 31, the date set for the MDB National Convention to be able to gather votes from the 27 state directories and be the party&#39;s candidate.";Neg,Neu,Pos,Compound;0.0;1.0;0.0;0.0
1;"O MDB decidiu em reunião da Executiva na tarde de terça-feira, 03.jul.2018, manter a candidatura própria do partido à Presidência. 
Assim, o ex-ministro da Fazenda Henrique Meirelles continuará sua costura em torno de apoio para a corrida ao Planalto ... ";"The MDB decided at a meeting of the Executive on Tuesday afternoon, 03.Jul.2018, to maintain the party&#39;s own candidacy for the Presidency. Thus, former Finance Minister Henrique Meirelles will continue his sewing around support for the race to the Plateau ...";Neg,Neu,Pos,Compound;0.0;0.935;0.065;0.4019
1;  Porra nem precisa. O cara é bilionário;Damn right. The guy is a billionaire.;Neg,Neu,Pos,Compound;0.351;0.649;0.0;-0.4019
1;"      E o candidato de Temer, banqueiro de carreira, membro do governo apoiado pelo PSDB, pretende crescer na campanha colando sua imagem a .... Lula 
";And the candidate of Temer, career banker, member of the government supported by the PSDB, intends to grow in the campaign sticking his image to .... Lula;Neg,Neu,Pos,Compound;0.0;0.919;0.081;0.3182
1;Meirelles tenta descontrair e dança forró no Piauí.  #Eleições2018  ;Meirelles tries to relax and dance forró in Piauí. # Elections2018;Neg,Neu,Pos,Compound;0.0;0.756;0.244;0.4404
1;      Não mentiu .;He did not lie.;Neg,Neu,Pos,Compound;0.0;1.0;0.0;0.0
0;  Votar em você que já está na política de toma lá dá cá a uns 40 anos agindo nos bastidores e agora veme dizer que é santo... Se você conseguir 2% será dos corruptos que carregará por quatro anos roubando dinheiro público.;Voting on you that is already in the politics of taking there gives some 40 years acting behind the scenes and now I see that it is holy ... If you get 2% it will be the corrupt ones that will charge for four years stealing public money.;Neg,Neu,Pos,Compound;0.074;0.926;0.0;-0.5719
1;      Quando você tá gravando comercial pra falar que salvou a economia, mas lembra q o país segue estagnado ;"When you&#39;re recording a commercial to say that you saved the economy, but you remember that the country is still stagnant.";Neg,Neu,Pos,Compound;0.0;0.909;0.091;0.2263
0;Em vídeo de campanha, Meirelles ataca Ciro, Bolsonaro, Marina e Alckmin       ;In campaign video, Meirelles attacks Ciro, Bolsonaro, Marina and Alckmin;Neg,Neu,Pos,Compound;0.244;0.756;0.0;-0.4404
0;      Você negaria voto para este homem? Quanto carisma cabe numa foto só? ;Would you deny this man a vow? How much charisma does it fit into one photo?;Neg,Neu,Pos,Compound;0.131;0.712;0.157;0.1179
