1;Media cala de Ambolo de Xàbia es ahora de arena dorada  vía ;Ambolo half of Xàbia cove is now of golden sand via;Neg,Neu,Pos,Compound;0.0;1.0;0.0;0.0
0;Nesta quarta, às 10 da manhã, Marina Silva participa da sabatina com presidenciáveis da CNI - Confederação Nacional da Indústria. Acompanhe ao vivo pelo Facebook -  ;This Wednesday, at 10 am, Marina Silva participates in the Saturday with presidents of CNI - National Confederation of Industry. Watch live on Facebook -;Neg,Neu,Pos,Compound;0.0;1.0;0.0;0.0
0;  ah  , vai dormir, vai!!!!;Ah, go to sleep, go!;Neg,Neu,Pos,Compound;0.0;1.0;0.0;0.0
1;PRB poderá rever apoio a Marina Silva caso Temer seja candidato à reeleição;PRB may review support for Marina Silva if Temer is a candidate for re-election;Neg,Neu,Pos,Compound;0.0;0.816;0.184;0.4019
1;"Checamos a história divulgada por  de que ela foi ""interrompida 62 vezes"" e ""vítima de machismo"" no . Comparamos a entrevista dela com a de  e  no programa.
Ajude-nos a criar a Agência Caneta de checagem:  ";"We check out the story because she was &quot;interrupted 62 times&quot; and &quot;victim of machismo&quot; in the. We compared her interview with that of and in the program. Help us create the Agency Pen check:";Neg,Neu,Pos,Compound;0.0;0.873;0.127;0.5859
0; Marina Silva vc não vale nada é corrupto como qualquer outro.;"Marina Silva You&#39;re worth nothing is corrupt like any other.";Neg,Neu,Pos,Compound;0.176;0.666;0.158;-0.0541
0;  não tem coragem de dizer que foi o governo Lula, o chefe da quadrilha que deu dinheiro do BNDES, não só para Eike, como outros amigos corruptos, escolhidos a dedo com os irmãos Batista.;does not have the courage to say that it was the Lula government, the gang leader who gave BNDES money not only to Eike, but also to other corrupt friends, hand-picked with the Batista brothers.;Neg,Neu,Pos,Compound;0.047;0.847;0.107;0.5165
1;O Eike Batista torrou os R$ 9 bilhões que o BNDES emprestou pra ele. Já pensou se esse dinheiro fosse investido em startups e empreendedorismo comunitário? ;Eike Batista toiled the R $ 9 billion BNDES loaned him. Ever wondered if this money was invested in startups and community entrepreneurship?;Neg,Neu,Pos,Compound;0.0;1.0;0.0;0.0
1;"Marina Silva, Geraldo Alckmin e Jair Bolsonaro lideram o ranking dos presidenciáveis numericamente mais seguidos por perfis robôs no twitter. 
Marina - 689.112
Alckmin - 456.658
Bolsonaro - 403.875
Alvaro Dias - 261.588
Lula - 74.114
Ciro - 52.836
Manuela - 45.163

InternetLab ";Marina Silva, Geraldo Alckmin and Jair Bolsonaro lead the ranking of numerically more presidential candidates followed by robot profiles on Twitter. Marina - 689,112 Alckmin - 456,658 Bolsonaro - 403,875 Alvaro Dias - 261,588 Lula - 74,114 Ciro - 52,836 Manuela - 45,163 InternetLab;Neg,Neu,Pos,Compound;0.0;1.0;0.0;0.0
1;"      E o candidato de Temer, banqueiro de carreira, membro do governo apoiado pelo PSDB, pretende crescer na campanha colando sua imagem a .... Lula 
";And the candidate of Temer, career banker, member of the government supported by the PSDB, intends to grow in the campaign sticking his image to .... Lula;Neg,Neu,Pos,Compound;0.0;0.919;0.081;0.3182
0;" Identificamos una eleitora da Marina Silva.
Tá vendo como eles existem.
Hahahaha";We identified an election of Marina Silva. You see how they exist. Hahahaha;Neg,Neu,Pos,Compound;0.0;1.0;0.0;0.0
